Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
Le misure di protezione passiva sono ,"tutti quei dispositivi che, a seguito della rivelazione di un incendio, sono in grado di esplicare l’azione protettiva senza richiedere alcuna azione (impiantistica o umana)","tutti quei dispositivi che, a seguito della rivelazione di un incendio, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)",tutti quei dispositivi che consentono di ridurre la probabilità che si inneschi un incendio,"tutti quei dispositivi che, a seguito della rivelazione di un incendio, sono in grado di esplicare l’azione protettiva senza richiedere alcuna azione (impiantistica o umana)"
"I sistemi di controllo dell’incendio (estintori, idranti, naspi, …) sono ","Misure di protezione passiva in quanto, per esplicare l’azione protettiva non necessitano di alcuna azione (impiantistica o umana)","Misure di protezione attiva in quanto, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)","Sono misure di prevenzione in quanto, la loro installazione consente di ridurre la frequenza di accadimento degli incendi","Misure di protezione attiva in quanto, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)"
" Il sistema di esodo (vie di esodo verticali, orizzontali, …) sono ","Misure di protezione passiva in quanto, per esplicare l’azione protettiva non necessitano di alcuna azione (impiantistica o umana)","Misure di protezione attiva in quanto, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)","Sono misure di prevenzione in quanto, la loro realizzazione consente di ridurre la frequenza di accadimento degli incendi","Misure di protezione passiva in quanto, per esplicare l’azione protettiva non necessitano di alcuna azione (impiantistica o umana)"
 Le porte EI “tagliafuoco” sono ,"Misure di protezione passiva in quanto, per esplicare l’azione protettiva non necessitano di alcuna azione (impiantistica o umana)","Misure di protezione attiva in quanto, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)","Sono misure di prevenzione in quanto, la loro realizzazione consente di ridurre la frequenza di accadimento degli incendi","Misure di protezione passiva in quanto, per esplicare l’azione protettiva non necessitano di alcuna azione (impiantistica o umana)"
" Le porte EI “tagliafuoco”, munite di “fermi elettromagnetici in apertura” asserviti a impianti IRAI, sono","Misure di protezione passiva in quanto, per esplicare l’azione protettiva non necessitano di alcuna azione (impiantistica o umana)","Misure di protezione attiva in quanto, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)","Sono misure di prevenzione in quanto, la loro realizzazione consente di ridurre la frequenza di accadimento degli incendi","Misure di protezione passiva in quanto, per esplicare l’azione protettiva non necessitano di alcuna azione (impiantistica o umana)"
" Nell’ambito della sicurezza antincendio, il rischio per la salvaguardia dell’incolumità delle persone è caratterizzato","dalla caratteristica prevalente degli occupanti (δocc) e dalla velocità caratteristica prevalente di crescita dell’incendio (δα),","Solo dalla velocità di crescita dell’incendio (δα),",Solo dalle caratteristiche degli occupanti (δocc),"dalla caratteristica prevalente degli occupanti (δocc) e dalla velocità caratteristica prevalente di crescita dell’incendio (δα),"
Che cosa si intende per fattore δocc nell’individuazione del profilo di rischio Rvita: ,"si intendono le caratteristiche prevalenti degli occupanti che sono classificate in 5 categorie, in base allo stato di veglia e di conoscenza del luogo","si intendono le caratteristiche degli occupanti che per vulnerabilità sono più rappresentativi dell’attività svolta nell’ambito considerato (persone anziane, bambini, ecc)",si intendono le caratteristiche degli occupanti che per numerosità e tipologia sono mediamente rappresentativi dell’attività svolta nell’ambito considerato ,"si intendono le caratteristiche prevalenti degli occupanti che sono classificate in 5 categorie, in base allo stato di veglia e di conoscenza del luogo"
"La velocità caratteristica prevalente di crescita dell’incendio (δα), fattore necessario per caratterizzare il rischio per la salvaguarda dell’incolumità delle persone","Rappresenta la velocità caratteristica prevalente di crescita dell’incendio, riferita al tempo tα in secondi impiegato dalla potenza termica per raggiungere il valore di 1000 kW",È la velocità di combustione del materiale mc [kg\s],La velocità di crescita dell’incendio non è un fattore importante per la valutazione del rischio al quale sono esposte le persone ,"Rappresenta la velocità caratteristica prevalente di crescita dell’incendio, riferita al tempo tα in secondi impiegato dalla potenza termica per raggiungere il valore di 1000 kW"
L’incendio è,"qualunque reazione chimica nella quale un combustibile, sostanza ossidabile, reagisce con un comburente, sostanza ossidante, liberando energia, in genere sotto forma di calore","qualunque reazione chimica che avviene in un luogo di lavoro nella quale un combustibile, sostanza ossidabile, reagisce con un comburente, sostanza ossidante, liberando energia, in genere sotto forma di calore ","una combustione in atmosfera di ossigeno (quello contenuto nell’aria), che avviene in un luogo non predisposto ad accoglierla e che per tale motivo spesso sfugge al controllo dell’uomo","una combustione in atmosfera di ossigeno (quello contenuto nell’aria), che avviene in un luogo non predisposto ad accoglierla e che per tale motivo spesso sfugge al controllo dell’uomo"
La severità dell'incendio dipende,Dalla quantità e dalla tipologia dei materiali combustibili e dalla loro distribuzione,Dalle caratteristiche di ventilazione degli ambienti e dalla distribuzione degli spazi del luogo nel quale si verifica l’incendio,Da tutti i fattori elencati negli altri due punti,Da tutti i fattori elencati negli altri due punti
Nell’evoluzione di un incendio si possono individuare le seguenti fasi caratteristiche,"Fase iniziale o di ignizione, fase di propagazione, incendio generalizzato (flash over) e estinzione e raffreddamento.","Fase iniziale o di ignizione, fase di propagazione e incendio generalizzato (flash over)","Fase iniziale o di ignizione, fase di propagazione e estinzione e raffreddamento","Fase iniziale o di ignizione, fase di propagazione, incendio generalizzato (flash over) e estinzione e raffreddamento."
Nell’evoluzione di un incendio la fase iniziale o di ignizione di un incendio,È caratterizzata dal coinvolgimento nella combustione di oggetti combustibili anche a distanza dalla zona di innesco e con aumento rapido della temperatura e dell’energia di irraggiamento  ,È caratterizzata dalla transizione da uno stato di incendio localizzato alla propagano delle fiamme a tutto il volume disponibile brusco incremento della temperatura (oltre 500°) e crescita esponenziale della velocità di combustione,è caratterizzata da un focolaio d’incendio che interessa zone limitate dell’ambiente,è caratterizzata da un focolaio d’incendio che interessa zone limitate dell’ambiente
Nell’evoluzione di un incendio la fase propagazione,È caratterizzata dal coinvolgimento nella combustione di oggetti combustibili presenti nelle vicinanze della zona di innesco e con aumento rapido della temperatura e dell’energia di irraggiamento  ,È caratterizzata dalla transizione da uno stato di incendio localizzato alla propagano delle fiamme a tutto il volume disponibile con brusco incremento della temperatura (oltre 500°) e crescita esponenziale della velocità di combustione,"è caratterizzata da un regime instabile, con un focolaio d’incendio che interessa zone limitate e temperature molto differenti da punto a punto e che possono subire rapide ed ingenti oscillazioni",È caratterizzata dal coinvolgimento nella combustione di oggetti combustibili presenti nelle vicinanze della zona di innesco e con aumento rapido della temperatura e dell’energia di irraggiamento  
Nell’evoluzione di un incendio la fase di incendio generalizzato (flash over),È caratterizzata dal coinvolgimento nella combustione unicamente di oggetti combustibili presenti nelle vicinanze della zona di innesco e con aumento rapido della temperatura e dell’energia di irraggiamento  ,È caratterizzata dalla transizione da uno stato di incendio localizzato ad uno dove le fiamme si propagano a tutto il volume disponibile con brusco incremento della temperatura (oltre 500°) e crescita esponenziale della velocità di combustione,"è caratterizzata da un regime instabile, con un focolaio d’incendio che interessa zone limitate e temperature molto differenti da punto a punto e che possono subire rapide ed ingenti oscillazioni",È caratterizzata dalla transizione da uno stato di incendio localizzato ad uno dove le fiamme si propagano a tutto il volume disponibile con brusco incremento della temperatura (oltre 500°) e crescita esponenziale della velocità di combustione
Nell’evoluzione di un incendio la fase di raffreddamento,"Ha inizio quando la maggior parte del materiale combustibile presente è bruciato, ed è caratterizzata dal decremento delle temperature all’interno del locale a causa del progressivo diminuire dell’apporto termico del materiale residuo",È caratterizzata dall’abbattimento delle temperature a seguito dell’azione estinguente dell’acqua,"è caratterizzata da un regime instabile, con un focolaio d’incendio che interessa zone limitate e temperature molto differenti da punto a punto e che possono subire rapide ed ingenti oscillazioni","Ha inizio quando la maggior parte del materiale combustibile presente è bruciato, ed è caratterizzata dal decremento delle temperature all’interno del locale a causa del progressivo diminuire dell’apporto termico del materiale residuo"
